"","TCGA.CH.5761.11A.01R.1580.07","TCGA.CH.5761.11A.01R.1580.08","TCGA.CH.5761.11A.01R.1580.09","TCGA.CH.5761.11A.01R.1580.10","TCGA.CH.5761.11A.01R.1580.11","TCGA.CH.5761.11A.01R.1580.12","TCGA.CH.5761.11A.01R.1580.13","TCGA.CH.5761.11A.01R.1580.14","TCGA.CH.5761.11A.01R.1580.15"
"BHLHA15","156.1534","68.5088","20.5092","45.0726","98.3661","63.6962","87.1965","62.6932","52.6717"
"BHLHB9","195.9931","188.7799","240.4526","176.8526","250.737","483.2536","346.2104","242.8256","322.1074"
"BHLHE22","1.8317","4.5673","1.4144","0.7639","4.629","10.4665","1.4717","5.7395","9.4539"
"BHLHE23","0","0","0","0","0","0","0","0","0"
"BHLHE40","4351.2307","23850.463","2534.6535","7220.7792","2420.5766","4930.622","2451.067","6175.7174","4775.5631"
"BHLHE41","616.8288","1118.2164","1060.8204","423.2238","552.7787","635.7656","328.5504","402.649","767.1153"
"BHMT","0.4579","1.0149","0.7072","0.7639","19.2875","0.8971","4.0471","0","1.6882"
"BHMT2","70.5209","185.4813","102.546","64.9351","268.8672","655.8014","250.184","324.9448","206.2973"
"BICC1","39.3818","95.4049","60.1132","101.6043","69.4349","288.2775","55.5556","162.0309","305.5631"
"BICD1","92.0435","122.5547","80.6223","1216.1956","124.2113","191.9856","71.376","156.7329","185.0261"
"BICD2","914.9399","1267.9209","811.8812","596.2567","712.0931","1566.0885","440.3974","1094.4812","1048.7061"
"BID","352.9433","374.5581","277.8359","500.3552","412.1114","205.1226","517.4908","264.543","348.4837"
"BIK","441.4425","286.2147","374.8232","508.0214","371.8623","49.9402","669.2421","194.702","149.2363"
"BIN1","1330.7384","1113.6492","1160.5375","1521.7723","1497.8644","4141.7464","1621.4128","1382.34","1374.5275"
"BIN2","64.1099","95.1512","14.8515","57.2956","50.5332","77.7512","66.2252","70.1987","344.3916"
"BIN3","500.9731","425.7697","323.1966","319.3277","365.3046","224.8804","586.4606","305.5188","321.7698"
"BIRC2","1135.2032","1314.6084","1138.6139","1206.6463","1360.1519","828.9474","1874.5401","1179.2494","1418.0829"
"BIRC3","662.6216","393.0377","115.983","555.7678","219.1056","288.8756","322.2958","573.0684","1310.3761"
"BIRC5","19.1643","11.9408","0","292.9832","17.486","5.7386","26.1921","16.8389","17.2972"
"BIRC6","2157.2982","2488.9006","2672.5601","2365.9282","1986.6087","2933.0144","1052.9801","3264.4592","3362.2071"
"BIRC7","0","0.7612","0","0.7639","0","0","0.3679","0","0.6753"
"BIRC8","0","0","0","0","0","0","0","0","0"
"BIVM","426.7888","510.4517","510.6082","641.4668","544.678","465.61","655.2612","479.4702","508.2949"
"BLCAP","2546.079","2043.0857","2652.0509","1695.1872","2390.8739","2013.756","2334.4371","1672.8477","1659.157"
"BLID","0","0.2537","0","0","0","0","0","0","0.3376"
"BLK","7.7848","1.7762","0","1.1459","11.5725","2.6914","2.2075","4.8565","105.0057"
"BLM","15.5695","17.0003","16.9731","104.2781","16.5872","7.7751","11.0375","25.1656","65.5019"
"BLMH","497.7676","566.5934","568.5997","311.3063","565.1227","595.9928","657.4687","554.0839","627.3329"
"BLNK","248.6548","306.7673","229.1372","296.0275","200.5896","76.8541","201.2509","181.0155","291.7199"
"BLOC1S1","1060.2496","912.1469","932.7016","583.9037","1152.3835","738.1998","2908.326","828.3267","748.7917"
"BLOC1S2","504.6365","612.0123","647.8076","479.3736","624.9138","340.311","1262.6932","411.9205","580.0634"
"BLOC1S3","311.8489","172.0333","322.4894","302.139","265.0097","203.0502","156.365","211.9205","222.1663"
"BLVRA","510.1317","662.5058","487.9774","265.0879","845.1766","980.5622","1311.2583","762.4724","661.0968"
"BLVRB","1570.2347","1535.8666","1628.7129","1088.6173","1763.6456","939.5933","3380.4268","1089.1832","933.9089"
"BLZF1","329.7081","542.996","421.4993","336.1345","530.791","770.634","985.2833","583.223","507.8087"
"BMF","858.1568","627.9977","685.29","580.2139","513.818","332.2368","293.2303","233.1126","525.0283"
"BMI1","1558.4156","1430.094","1870.7284","1008.6402","1703.1949","2405.9659","3008.9367","1818.5651","2024.0264"
"BMP1","357.6417","633.0724","263.7907","510.3132","463.6706","327.1531","248.3444","426.4901","527.7294"
"BMP10","0","0","0","0","0","0","0","0","0"
"BMP15","0","0","0","0","0","0","0","0","0"
"BMP2","156.1534","136.5102","81.3296","373.1856","86.0221","91.8062","116.9978","132.0088","181.9873"
"BMP2K","105.7813","186.2425","123.0552","147.8228","173.5872","285.5861","120.3091","216.777","367.351"
"BMP3","275.2147","236.7361","120.9335","32.0856","33.9459","5.6818","26.858","32.6711","141.8083"
"BMP4","197.8248","346.8577","373.4088","140.5653","362.6043","877.6914","496.6887","354.0839","823.8386"
"BMP5","7.3268","10.6569","0","5.3476","20.8305","368.4211","585.3569","650.3311","1204.6952"
"BMP6","116.2313","59.4936","66.1952","198.8961","79.6071","68.1669","59.8823","151.8234","136.9666"
"BMP7","333.8294","516.0999","804.8091","442.3224","471.7714","103.4689","252.3915","690.0662","422.0485"
"BMP8A","78.7636","180.1529","103.2532","136.7456","124.9828","88.5167","80.9419","72.4062","72.2547"
"BMP8B","22.8964","41.8792","46.6761","16.0428","28.5454","72.0694","17.66","62.6932","73.9429"
"BMPER","46.2507","28.6722","26.8741","11.8411","40.8894","1237.4402","103.0169","166.0044","315.017"
"BMPR1A","1111.8489","1098.1713","1371.9943","538.5791","1489.7637","1705.1435","1621.4128","1079.9117","1268.8466"
"BMPR1B","2910.5896","1840.604","3526.8741","2418.6402","2317.1958","827.7512","3291.3907","2035.7616","1386.6825"
"BMPR2","2112.8792","2445.0042","4253.1825","2401.8335","2662.8272","4501.1962","2135.0258","4076.3797","4354.1898"
"BMS1","1066.0561","1197.3822","1179.6322","1221.9251","862.9211","1147.4282","564.0177","1301.1038","1229.3428"
"BMS1P4","20.8128","45.094","18.1966","20.6646","24.3485","14.3541","27.1192","11.7395","35.0233"
"BMS1P5","43.0452","96.6736","35.3607","102.3682","49.7617","25.4187","42.6784","56.9536","55.7104"
"BMX","8.2427","28.926","7.0721","10.3132","11.1867","29.3062","8.4621","39.7351","27.3487"
"BNC1","26.1019","51.2548","26.8741","14.5149","32.0172","5.3828","4.415","19.426","18.2325"
"BNC2","140.1259","260.5873","255.3041","147.4408","268.4815","1523.0263","154.1575","371.3024","558.4546"
"BNIP1","152.49","170.5109","154.8798","173.0328","205.6044","110.945","404.3414","169.9779","119.1865"
"BNIP2","633.7722","1022.8115","705.0919","587.4714","663.103","1435.1077","790.6549","955.8499","1192.2026"
"BNIP3","1890.3263","1401.3863","2449.7878","2456.0733","2013.9969","1225.4785","3183.9588","1380.574","1132.1029"
"BNIP3L","2325.8157","2059.8323","2554.4554","3346.4477","2517.3997","3196.7703","4571.0081","2517.4393","2829.4131"
"BNIPL","119.9771","562.5337","174.6818","38.1971","111.0958","20.634","192.053","124.5033","93.5259"
"BOC","821.0647","1377.7888","545.9689","741.4057","765.3265","4087.9187","474.2458","1445.4746","1432.939"
"BOD1","720.7785","657.9386","869.1655","995.7983","870.2503","725.4785","1711.9205","671.0817","737.0655"
"BOD1L","1071.5512","1352.1614","1406.6478","886.1727","1003.7196","1708.433","440.7653","1637.5276","1858.0263"
"BOK","2029.5363","1431.8347","2268.7412","1209.3201","1915.6308","2006.2799","1269.6836","1226.0486","1444.4187"
"BOLA1","299.0269","209.84","299.1513","236.0581","349.4888","245.8134","614.4224","181.0155","222.1663"
"BOLA2","578.1339","527.2364","371.5276","912.5363","646.6778","293.5377","760.1177","439.66","368.661"
"BOLA3","173.0967","169.4959","165.488","282.6585","234.1498","152.2129","443.7086","203.0905","130.3286"
"BOLL","0.4579","0.5075","0","0","0","3.5885","0","0","0.6753"
"BOP1","167.1437","198.4219","61.5276","559.5875","249.9655","196.7703","59.9706","169.9779","84.4097"
"BPESC1","0","0","0","0.382","0","0","0","0","0"
"BPGM","376.8746","459.2629","393.2107","334.2246","402.3365","444.0789","696.8359","396.0265","408.8806"
"BPHL","304.0641","255.2588","399.5757","436.5928","477.9433","284.988","668.8742","202.649","245.801"
"BPI","1.8317","2.7911","0","0","2.3145","3.8876","3.6792","1.766","2.0258"
"BPIL1","153.4058","271.7517","254.5969","266.6157","5971.3986","9.2703","43.4143","172.1854","66.8525"
"BPIL2","0","0","0","0","0","0","0","0","0"
"BPIL3","0","0","0","0","1.1572","0","0","0","0"
"BPNT1","651.1734","531.3241","512.7298","668.0672","683.5477","372.9067","965.4157","532.4503","564.8697"
"BPTF","1700.2862","1938.5463","2113.1542","1982.4293","1565.3705","2137.8589","659.3083","2320.5298","2504.6045"
"BPY2","0","0","0","0","0","0","0","0","0"
"BRAF","122.2667","181.1678","190.2405","175.7066","186.3169","192.2847","161.8837","233.5541","229.2567"
"BRAP","518.8323","534.3689","652.7581","509.5493","594.4396","649.8206","525.3863","549.2274","640.5008"
"BRCA1","102.1179","146.9134","81.3296","306.7227","122.6683","116.6268","57.7631","154.0839","177.598"
"BRCA2","27.4757","57.0907","17.6803","82.8877","15.8157","12.8589","19.8675","50.7726","74.9558"
"BRCC3","488.1511","514.07","621.6407","663.4836","593.6681","493.122","633.5541","553.2009","491.9397"
"BRD1","1008.8151","911.1675","936.3508","1457.2193","773.813","902.2129","342.5313","971.3024","1062.8869"
"BRD2","5636.1763","7531.6584","6106.7893","8055.0038","5115.0353","3819.0789","3432.3032","5306.4018","6072.4336"
"BRD3","1417.0395","1219.2188","1195.3536","1916.631","1326.773","1765.0538","694.5659","1397.6468","1423.7451"
"BRD4","1583.5146","1582.5541","1437.7652","1692.1314","1308.0758","1637.5598","707.5055","1619.8675","1796.576"
"BRD7","894.3331","1001.4977","1010.6082","1091.673","948.1717","1085.8254","1000","992.936","1075.7172"
"BRD7P3","0","0.2537","0","1.1459","0","0.5981","0","0","0.3376"
"BRD8","1229.0784","1167.4413","1107.4965","1192.8953","1174.6065","890.5502","1395.1435","984.5475","1181.7358"
"BRD9","677.2753","671.8941","597.5955","807.4866","621.8278","651.6148","547.0935","539.9558","600.6594"
"BRDT","0","0","8.4866","0","0","0","0","0","0.3376"
"BRE","457.4699","495.5472","437.058","451.1077","506.103","748.8038","515.0846","577.8102","529.7553"
"BREA2","3.6634","3.5523","4.2433","1.9099","1.9287","3.2895","3.6792","0.883","1.3506"
"BRF1","900.7441","719.3428","840.1697","861.7265","684.7049","537.9785","406.181","587.0728","559.1501"
"BRF2","310.0172","183.7052","453.3239","263.9419","449.0121","382.177","705.298","271.5232","360.2606"
"BRI3","1534.5163","1198.1434","1695.1909","1637.8915","1633.2624","1221.2919","3345.1067","881.2362","1003.1248"
"BRI3BP","72.3526","57.3444","36.7751","80.9778","59.0196","45.7536","52.6122","85.6512","84.4097"
"BRIP1","14.1958","35.2694","13.4371","56.9137","25.8452","9.2703","18.7638","28.2561","62.8008"
"BRIX1","364.9685","435.9192","516.2659","566.081","425.8672","312.201","693.8926","390.7285","387.947"
"BRMS1","1014.3102","787.8516","1079.2079","957.6012","887.2233","365.1316","1145.3274","649.0066","496.6667"
"BRMS1L","198.2828","254.2439","224.8939","161.5737","242.6363","301.1364","488.9625","280.7947","289.6941"
"BRP44","2685.2891","1392.7593","3466.0537","6005.3476","3176.2594","1264.055","5700.1472","2577.0419","1014.2669"
"BRP44L","464.3389","564.8173","424.3281","470.5882","563.1939","710.2273","1230.3164","494.0397","514.2239"
"BRPF1","533.9439","509.5027","455.4455","439.2666","426.6387","467.4043","185.4305","526.2693","615.1779"
"BRPF3","1627.0177","1545.0011","1396.0396","1491.5966","1253.2994","1377.6914","629.8749","1543.0464","1467.0405"
"BRS3","0","0","0","0","0","0.299","0.7358","0","0"
"BRSK1","62.2782","74.091","32.5318","46.2185","55.9336","84.3301","60.7064","127.5938","119.1865"
"BRSK2","5.4951","2.2836","14.1443","4.2017","5.0147","4.4856","4.0471","42.3841","5.0646"
"BRWD1","1139.3246","1709.1686","1615.2758","786.4782","1142.5893","1267.3445","908.3885","1245.9161","1565.6311"
"BRWD3","114.482","258.5574","135.785","164.2475","130.3833","101.6746","44.8859","221.1921","242.087"
"BSCL2","2649.676","1743.3951","1723.7412","1506.0581","2403.3915","1057.0215","2135.2465","1503.0773","1206.9473"
"BSDC1","2762.221","2736.5474","2702.9703","2916.7303","2943.6526","1950.6579","2309.0508","2240.6181","1992.4065"
"BSG","9114.5965","7002.8717","7511.3154","18495.7983","12215.9077","8783.1938","11312.362","8101.5453","7043.8205"
"BSN","41.6714","39.3291","88.4017","35.9053","38.5749","38.8756","5.1508","51.6556","56.048"
"BSND","0","2.0299","14.1443","0.7639","1.1572","0","0.7358","0.4415","1.6882"
"BSPH1","0","0","0","0","0","0","0","0","0"
"BSPRY","382.8277","303.9762","391.7963","236.0581","345.6313","79.5455","369.3893","283.4437","191.1036"
"BST1","10.0744","30.7021","16.2659","21.7723","28.1597","46.0526","63.2818","35.3201","97.9152"
"BST2","502.8048","851.5395","293.4936","443.0863","582.0956","724.8804","1159.3083","1342.1634","1230.3558"
"BSX","0","0","0","0","0.3857","0","0","0","0"
"BTAF1","585.2318","1205.7555","722.7723","725.7448","659.2455","641.1483","436.3503","774.8344","930.5325"
"BTBD1","1110.4751","1432.8496","1501.4144","1656.6081","1311.9332","2425.8373","1841.7954","1450.7726","1578.1237"
"BTBD10","388.3228","614.0422","437.7652","488.5409","571.2947","799.6411","888.521","588.521","632.7351"
"BTBD11","571.0361","494.786","361.3861","139.4194","489.5158","189.5933","366.078","378.3664","305.9007"
"BTBD12","242.7018","292.8118","202.2631","186.0199","178.2162","209.0311","64.0177","238.4106","195.4929"
"BTBD16","3.6634","12.4331","3.5361","0","0","0.5981","0","0","0"
"BTBD17","0.4579","0.2537","0","0","0","0.299","0","0","1.0129"
"BTBD18","0.9159","3.806","1.4144","1.5279","0.7715","0.5981","1.1038","0.883","1.6882"
"BTBD19","1.3738","17.2541","1.4144","5.3476","5.0147","8.9713","2.2075","11.0375","26.3358"
"BTBD2","2960.9616","2059.3248","2454.0311","2923.6058","2430.6061","2215.61","1495.585","1865.3422","1819.1978"
"BTBD3","855.4093","841.39","787.1287","988.9228","958.2012","2062.5","1330.0221","1044.1501","1389.046"
"BTBD6","1245.1059","1429.2973","1452.6167","1441.9404","1565.7563","1187.799","1648.6387","987.1965","808.9623"
"BTBD7","900.7441","918.5259","1282.8854","718.8694","939.2995","1525.4187","536.0559","1054.3046","1211.448"
"BTBD8","13.2799","23.5975","14.8515","5.7296","23.9165","29.6053","16.5563","26.4901","34.1015"
"BTBD9","940.5839","826.6733","1086.9873","551.9481","776.899","889.055","283.2965","851.6556","726.9363"
"BTC","48.5404","47.9562","38.1895","30.9396","40.1179","76.555","57.3951","46.3576","46.2565"
"BTD","622.324","665.0432","772.2772","791.0619","1061.9677","729.6651","1139.0728","651.6556","763.7389"
"BTF3","6886.3194","8667.1289","8377.6521","9942.3224","8889.2061","6174.6411","15228.1089","6021.6336","6759.1909"
"BTF3L1","0","0.2537","0","0","0","2.3923","0.3679","0","0.6753"
"BTF3L4","741.8432","820.0761","864.9222","574.8663","914.9973","708.7321","1577.2627","726.2693","791.0877"
"BTG1","3354.3217","3221.9452","4246.1103","3576.3942","3545.0357","2279.6053","3982.7079","3611.9205","5781.389"
"BTG2","6269.0326","48669.6916","7630.8345","7505.7296","5133.5512","18963.2177","7439.6615","29505.0773","8241.0876"
"BTG3","618.2026","769.0751","461.1033","347.5936","361.8328","267.0455","696.8359","465.7837","526.3789"
"BTG4","0","0","0","0","0","0","0","0","0"
"BTK","53.5776","63.1804","8.4866","24.4461","62.1056","84.6292","98.9698","69.3157","258.6313"
"BTLA","5.4951","4.821","2.1216","1.5279","3.4717","9.8684","5.8867","9.2715","67.5278"
"BTN1A1","0.9159","0","1.4144","0.382","0","0.299","1.1038","0","2.7011"
"BTN2A1","481.2822","634.5948","468.8826","473.644","560.4937","688.3971","494.4812","526.7108","619.2295"
"BTN2A2","305.8958","329.8574","142.8571","186.4018","199.4324","161.7823","293.2303","213.245","349.7938"
"BTN2A3","12.3641","17.0003","7.7793","13.369","19.6732","9.2703","19.4996","23.3996","48.9576"
"BTN3A1","800.9159","941.6159","594.0594","436.9748","730.2234","468.3014","1185.4305","640.6181","1006.8389"
"BTN3A2","1039.0384","1171.5011","689.5332","630.2521","650.3733","304.4258","824.1354","844.5916","821.8128"
"BTN3A3","472.1236","350.9175","295.6153","233.7662","368.7763","374.4019","642.0162","501.9868","835.3184"
"BTNL2","1.3738","1.0149","2.8289","0","0","1.1962","2.2075","0.4415","0.3376"
"BTNL3","0","0","0","0","0","0","0","0","0.6753"
"BTNL8","0","1.0149","0","0.382","1.1572","6.878","0","0.4415","0.6753"
"BTNL9","19.6909","37.0455","12.0226","6.1115","62.1056","43.3612","26.4901","60.9272","57.3986"
"BTRC","941.0418","938.8248","1004.2433","762.796","923.8695","1134.8684","616.9978","940.3974","926.8185"
"BUB1","19.233","28.926","12.7298","311.6883","21.2162","11.3636","27.5938","22.9581","64.489"
"BUB1B","22.8964","32.0012","14.8515","302.903","24.3022","7.177","20.6034","23.3996","49.6329"
"BUB3","1164.5106","1179.8744","1680.3395","2291.4439","1419.1715","968.8995","1873.4364","1165.5629","1364.3984"
"BUD13","394.7338","457.7405","421.4993","341.482","388.8353","281.3995","495.2171","392.936","430.8271"
"BUD31","932.6113","900.5588","882.5601","1115.1337","1165.9156","640.3379","2408.1126","769.7263","714.1668"
"BVES","207.8993","329.6036","211.4569","206.2643","368.7763","1397.7273","275.9382","476.3797","346.0798"
"BYSL","286.6629","350.41","279.3494","462.1849","334.4446","223.6842","292.1266","254.3046","249.5151"
"BZRAP1","732.6846","857.8829","741.867","334.6066","538.1202","470.3947","200.5151","490.5077","673.927"
"BZW1","3769.6623","3963.6167","4514.8515","4408.7089","4569.2","3377.3923","7908.7564","4313.9073","3800.1246"
"BZW2","641.557","1067.7229","719.9434","1505.3476","859.0636","979.067","1071.7439","689.6247","570.9472"
"C10orf10","256.4396","1448.835","214.2857","3626.8144","626.4568","414.4737","782.5607","1457.8366","1509.2454"
"C10orf105","12.3641","25.6274","9.8586","2.6738","6.9435","7.7751","2.5754","16.777","29.1011"
"C10orf107","26.1019","53.0309","65.0636","50.4202","74.0639","90.311","115.5261","60.9272","85.7603"
"C10orf108","16.4854","37.8067","16.2659","15.2788","32.0172","107.0574","25.7542","41.9426","42.5425"
"C10orf11","49.4562","59.3743","75.6719","88.2353","77.1499","87.9187","157.8366","40.6181","66.1772"
"C10orf110","7.6428","18.6699","5.0566","28.0405","9.3698","13.6184","12.5975","2.4901","2.9273"
"C10orf111","10.5323","12.1793","3.5361","12.2231","3.4717","2.3923","12.8771","3.0905","1.3506"
"C10orf113","0","0","0","0","0","0","0","0","0"
"C10orf114","6.8689","9.8957","9.1938","6.1115","11.1867","42.4641","22.443","19.426","23.2971"
"C10orf116","2621.3578","2500.5979","11302.6096","575.1413","5959.6256","1632.7004","10567.2737","2409.5055","2595.5341"
"C10orf118","1061.0189","972.0643","1413.0127","991.2147","1102.0856","973.9833","1024.6505","1389.8455","1379.2545"
"C10orf119","936.9204","1071.5289","1168.3168","1349.5034","1222.0537","1554.1268","1742.8256","1230.9051","1417.4076"
"C10orf12","92.3457","107.2163","98.0481","130.6952","116.5387","194.0102","58.1825","174.9272","169.0625"
"C10orf120","0","0","0","0","0","0","0","0","0"
"C10orf122","0","0","0","0","0","0.5981","0","0.4415","0"
"C10orf125","76.016","96.9273","33.9463","35.1413","72.9066","23.3254","154.5254","37.9691","66.1772"
"C10orf128","6.411","8.3733","1.4144","6.4935","20.4447","21.2321","23.5467","12.8035","57.061"
"C10orf129","0","0","9.901","0","0","0","0","0","0"
"C10orf131","0","0.2537","0","0","2.3145","0.299","0","0","0.3376"
"C10orf137","340.6983","432.1131","368.4583","425.1337","421.6239","434.2105","335.5408","396.468","463.9157"
"C10orf140","13.2799","19.0302","40.3112","2.2918","23.5307","31.1005","29.3377","25.6071","23.2971"
"C10orf18","1006.5255","1345.818","1322.4894","1554.6218","1068.5255","1540.0718","747.6085","1435.7616","1540.3082"
"C10orf2","244.9914","204.5116","267.3267","176.0886","258.452","168.3612","143.1199","192.936","236.3472"
"C10orf25","30.2232","42.8815","24.7525","37.4332","60.9484","97.7871","79.4702","40.6181","50.6458"
"C10orf26","2906.4682","2008.7882","1947.6238","1650.4966","2623.095","1866.0287","2225.1656","1941.2804","2260.1541"
"C10orf27","0.4579","0.2537","0","0.382","0","0","0","0.4415","0"
"C10orf28","296.2793","298.6478","340.1697","287.6241","379.5773","244.6172","569.9043","285.6512","487.8881"
"C10orf32","955.2376","884.0177","1128.0057","930.4813","890.3093","712.3206","1846.9463","934.2163","853.8885"
"C10orf35","222.5529","187.5112","234.7949","199.3888","231.0638","189.2943","380.0589","151.4349","147.5482"
"C10orf4","284.3732","433.8893","322.4894","286.4782","337.9164","335.5263","425.3127","349.6689","300.8362"
"C10orf40","0","0","0","0","0","0","0","0","0"
"C10orf41","105.4104","63.9416","94.1443","217.9565","115.0073","115.5652","197.5717","87.8543","107.7169"
"C10orf46","1059.6451","1158.8143","1195.1909","1113.4454","958.2012","1402.811","980.5004","1224.2826","1316.116"
"C10orf47","569.2044","396.59","495.7567","312.0703","483.3438","148.9234","363.8705","301.9868","365.3252"
"C10orf50","0","0.2537","0","0","0","0","0","0","0.3376"
"C10orf53","0","0","0","0","0","0","0","0","0"
"C10orf54","1118.7178","1341.7582","640.7355","482.4293","712.8646","1228.4689","679.5438","1014.5695","1894.1536"
"C10orf55","7.8397","33.8281","12.7511","3.1933","8.4865","2.6944","13.2561","5.1347","12.4487"
"C10orf57","1970.8483","1780.3721","2215.1697","2831.0963","2497.171","1131.4115","2830.6439","1506.6358","1348.9244"
"C10orf58","2338.1797","2511.4832","3175.389","1095.4927","3038.547","2297.5478","4335.9088","2195.1435","2093.0229"
"C10orf62","0.4579","0","0.7072","0","0","0.299","0.7358","0","0"
"C10orf67","0","0.5075","0","0","0.3857","0.5981","0","0","0.6753"
"C10orf68","1.8317","13.448","2.1216","3.0558","2.3608","3.5885","2.9433","1.3245","6.4151"
"C10orf71","0","0.2537","0.7072","0","0","491.0287","0.3679","0.4415","13.1679"
"C10orf72","487.6932","608.2062","514.8515","239.1138","749.5108","1993.7201","452.5386","1154.5254","1719.932"
"C10orf75","152.9479","151.2269","246.1103","284.5684","257.6805","104.9641","282.5607","153.2009","68.8783"
"C10orf76","808.7006","672.909","891.7963","842.246","889.9236","992.2249","898.0868","850.3311","819.4493"
"C10orf78","115.8558","190.5561","149.2221","119.9389","141.1842","92.4043","191.6851","91.8322","102.3046"
"C10orf79","40.2977","48.4637","27.5813","11.8411","33.5602","11.3636","31.273","12.8035","20.2583"
"C10orf81","1251.9748","447.5911","188.1188","669.5951","262.3095","46.3517","74.6873","496.6887","607.7498"
"C10orf82","13.2799","21.5676","97.5955","3.0558","54.7764","15.2512","64.3856","7.064","11.4797"
"C10orf84","510.5896","639.6695","606.7893","566.4629","750.2823","810.4067","1596.0265","679.0287","687.4326"
"C10orf88","172.1809","181.1678","166.9024","181.8182","173.5872","159.39","240.6181","182.7815","201.908"
"C10orf90","0","0.7612","5.6577","0.7639","5.4005","0.8971","4.415","0.4415","2.3635"
"C10orf91","0.4579","1.0149","0","9.5493","1.1572","0","0","2.2075","0.6753"
"C10orf93","1.8317","2.5374","0","2.2918","3.4717","1.1962","4.415","2.2075","3.3764"
"C10orf95","26.2576","3.6335","15.8274","31.6234","15.8311","4.5604","10.8646","5.5011","5.517"
"C10orf96","0","0","0","0","0","0","0","0","0"
"C10orf99","3.6634","39.3291","7.7793","0","1.543","0.299","3.3113","8.3885","1.6882"
"C11orf1","274.7567","370.1304","460.396","360.1986","438.9479","228.0981","800.1545","258.6225","255.5217"
"C11orf10","1231.3681","1134.2018","1208.628","1441.5584","1325.4345","624.4019","2865.3422","860.0442","805.2685"
"C11orf16","0.4579","0","2.1216","0","0.7715","0","0","0.883","1.0129"
"C11orf17","266.0561","270.2293","188.1188","228.4186","303.5847","328.3493","398.4547","274.6137","336.9635"
"C11orf2","4208.3572","2484.5871","3246.8175","3302.521","2804.3972","2526.3158","2369.7572","2534.2163","2173.0433"
"C11orf20","0","0.7612","0.7072","2.628","1.543","1.1962","3.3848","1.4393","0.628"
"C11orf21","3.6634","7.8658","1.4144","3.0558","3.086","5.9809","2.9433","2.2075","17.8949"
"C11orf24","621.8661","589.9372","547.3833","640.5653","724.4371","741.0287","505.8867","595.585","665.4861"
"C11orf30","424.4991","542.996","474.5403","437.7387","507.2603","601.9737","318.6166","541.7219","586.8162"
"C11orf31","997.8248","759.1794","890.3819","1117.2651","940.8425","447.3684","2381.5305","650.3311","637.1244"
"C11orf34","0","0.5075","0.7072","0","0","0.299","0","0.883","0"
"C11orf35","70.2782","42.6962","52.355","63.793","32.6614","11.3278","34.9632","17.0728","23.9285"
"C11orf36","0","0","0","0","0","0","0","0","0"
"C11orf40","0","0","0","0","0","0","0","0","0"
"C11orf41","2.7476","11.1644","5.6577","5.3476","8.8722","16.1483","5.1508","21.6336","20.9336"
"C11orf42","0","0.5075","1.4144","0","1.1572","0.299","0","0.883","0.3376"
"C11orf45","66.3995","89.0615","108.9109","31.7036","102.6093","28.11","62.546","45.0331","67.5278"
"C11orf46","713.9096","631.8037","815.4173","595.4927","891.4666","834.9282","1538.2634","649.0066","841.3959"
"C11orf48","543.9679","572.3659","582.3338","688.5638","732.5031","254.701","1310.4452","409.2097","323.0528"
"C11orf49","521.1219","435.9192","372.7016","394.194","459.8131","414.7727","586.8286","418.1015","391.661"
"C11orf51","577.9325","643.3487","565.4243","761.9175","774.924","709.2673","1572.546","568.5298","432.2553"
"C11orf52","674.9857","452.0213","495.0495","443.0863","565.3155","141.9318","1169.323","321.4393","212.0372"
"C11orf53","2.2896","7.6121","9.901","0.7639","2.7002","0.299","2.2075","1.3245","1.0129"
"C11orf54","1165.4264","772.6274","969.5898","1249.427","940.071","554.1268","2113.3186","1283.8852","984.8924"
"C11orf57","616.8288","635.356","777.2277","622.6127","770.3413","649.8206","970.9345","587.1965","668.5248"
"C11orf58","3223.3543","3513.742","3521.9236","3557.2956","4120.5736","3704.8445","7420.1619","3649.4481","3991.2281"
"C11orf59","2055.1803","1834.0069","2289.9576","2221.1612","2642.3825","1634.8684","5818.9845","1713.0243","1515.3229"
"C11orf61","131.4253","202.4817","133.6634","132.9259","116.1105","79.5455","120.677","95.8057","121.2123"
"C11orf63","118.1454","172.287","103.9604","92.437","138.484","196.1722","136.4974","164.6799","178.2733"
"C11orf64","0","0","0","0","0","0","0","0","0"
"C11orf65","6.411","7.6121","8.4866","2.2918","7.3292","1.7943","8.4621","4.415","7.4281"
"C11orf66","19.233","29.6872","5.6577","11.0772","15.8157","17.0455","11.4054","4.415","8.1033"
"C11orf67","288.9525","281.5612","344.413","190.2215","280.4397","487.4402","427.8882","230.4636","152.3696"
"C11orf68","1250.1431","836.569","1171.8529","1053.4759","1116.7441","1235.945","1378.9551","814.5695","853.5509"
"C11orf70","21.9805","54.5533","28.9958","12.605","48.9902","77.4522","111.1111","58.2781","75.6311"
"C11orf71","398.3973","367.4103","410.1839","87.4714","391.9213","223.6842","483.0758","286.5342","221.491"
"C11orf73","277.0464","338.7381","261.669","310.9244","349.4888","433.6124","606.6961","306.8433","295.4339"
"C11orf74","111.7344","165.1824","200.1414","99.6944","172.8157","212.9187","364.9742","116.5563","108.7197"
"C11orf75","1208.9296","676.7151","791.372","1080.2139","879.8941","282.5957","1575.4231","540.8389","445.3456"
"C11orf80","337.4928","282.9161","541.0184","526.356","307.4422","131.2799","719.6468","262.6932","235.3342"
