"","TCGA.CH.5761.11A.01R.1580.07","TCGA.CH.5761.11A.01R.1580.08","TCGA.CH.5761.11A.01R.1580.09","TCGA.CH.5761.11A.01R.1580.10","TCGA.CH.5761.11A.01R.1580.11","TCGA.CH.5761.11A.01R.1580.12","TCGA.CH.5761.11A.01R.1580.13","TCGA.CH.5761.11A.01R.1580.14","TCGA.CH.5761.11A.01R.1580.15"
"ATP5J","1035.2421","1194.1293","1236.7327","1377.628","1451.6246","1744.8744","3371.7329","1173.8146","1023.9369"
"ATP5J2","1172.7533","1372.9247","1247.5248","1686.7838","1526.0241","737.4402","5150.8462","1197.351","769.1412"
"ATP5L","2128.4488","2449.3177","2415.8416","2799.0833","2972.5838","2247.3086","6318.9845","2168.2119","1963.0319"
"ATP5L2","0","1.5224","1.4144","0.7639","0","1.4952","2.5754","0","0"
"ATP5O","2056.0962","2428.7651","2219.2362","2658.8999","2820.2129","2377.3923","6254.9669","1963.3554","1867.4802"
"ATP5S","121.3509","159.6002","174.6818","147.8228","168.5724","152.2129","318.6166","149.6689","162.7419"
"ATP5SL","945.1631","781.2545","790.6648","842.246","960.5157","836.7225","1117.3657","681.6777","588.8421"
"ATP6AP1","6316.1992","4359.4456","6630.1273","7265.4698","6967.0175","2873.2057","5270.4194","4656.5121","3130.2492"
"ATP6AP1L","26.1019","60.1355","31.1174","37.4332","43.5897","44.5574","17.2921","19.426","44.2307"
"ATP6AP2","2499.3703","2613.9927","3332.3904","2897.2498","3291.9842","3404.3062","5599.7057","3302.8698","3458.0965"
"ATP6V0A1","1572.5243","1698.5116","2088.4017","1192.1314","1688.8103","1467.7033","1077.2627","1254.7461","1309.3632"
"ATP6V0A2","483.5718","624.4453","524.7525","386.9366","519.6043","402.512","884.106","550.9934","407.8677"
"ATP6V0A4","13.7378","12.9406","350.7779","0.382","21.602","1.4952","45.9897","23.8411","19.9207"
"ATP6V0B","2926.6171","2099.6689","2176.0962","2750.9549","3539.6353","1028.11","7087.5644","1785.872","1259.0551"
"ATP6V0C","2905.5295","2030.3989","2694.4201","2248.0061","2539.7732","1714.1148","3322.2958","2286.9757","1958.7135"
"ATP6V0D1","2373.4402","1974.8306","2070.0141","1990.4507","2463.3948","2014.6531","4240.6181","2089.6247","1969.1094"
"ATP6V0D2","7.7848","11.9256","255.3041","10.3132","22.3735","5.3828","108.5357","34.8786","32.751"
"ATP6V0E1","3661.5913","2862.6544","3913.0127","2742.5516","4244.7849","2627.3923","8000.7358","2719.6468","2575.8463"
"ATP6V0E2","2345.0441","1604.6241","6520.4597","1542.7617","3399.6044","1543.8995","2169.2384","1422.9448","1275.1503"
"ATP6V1A","1745.1631","1544.2399","2187.4116","2209.3201","1874.7414","1356.1603","2488.9625","2016.777","2099.1004"
"ATP6V1B1","31.1391","61.9117","312.5884","42.3988","27.7739","6.5789","87.1965","34.4371","53.3469"
"ATP6V1B2","1752.49","1714.497","1631.5417","1700.5348","1556.4983","1593.3014","2154.5254","1491.3907","1815.1461"
"ATP6V1C1","1144.8197","1266.1448","1278.6421","779.9847","1148.7613","1072.3684","1407.6527","1219.8675","1197.6048"
"ATP6V1C2","54.3652","67.532","327.1429","94.7594","82.2842","29.3182","156.3355","75.8366","55.447"
"ATP6V1D","1081.6256","1123.7986","1589.1089","1119.5569","1448.4885","1185.1077","2692.7888","1403.532","969.0233"
